2025-12-09 09:07:45 | ERROR    | registration_client:validate_token:122 - Token validation error: 
2025-12-09 09:07:56 | ERROR    | registration_client:register:67 - Registration error: 
2025-12-09 09:07:56 | ERROR    | __main__:start:140 - Agent error: 
2025-12-09 09:08:15 | ERROR    | registration_client:validate_token:122 - Token validation error: 
2025-12-09 09:08:26 | ERROR    | registration_client:register:67 - Registration error: 
2025-12-09 09:08:26 | ERROR    | __main__:start:140 - Agent error: 
2025-12-09 09:09:52 | ERROR    | registration_client:validate_token:122 - Token validation error: 
2025-12-09 09:10:03 | ERROR    | registration_client:register:67 - Registration error: 
2025-12-09 09:10:03 | ERROR    | __main__:start:140 - Agent error: 
2025-12-09 09:12:50 | ERROR    | registration_client:validate_token:122 - Token validation error: Cannot connect to host 192.168.1.6:80 ssl:default [Connect call failed ('192.168.1.6', 80)]
2025-12-09 09:12:50 | ERROR    | registration_client:register:64 - Failed to connect to orchestrator: Cannot connect to host 192.168.1.6:80 ssl:default [Connect call failed ('192.168.1.6', 80)]
2025-12-09 09:12:50 | ERROR    | __main__:start:140 - Agent error: Cannot connect to orchestrator at http://192.168.1.6
2025-12-09 09:17:20 | ERROR    | action_executor_login:_wait_for_element_robust:301 - ❌ Element not found after all strategies: input[type='email'], input[name='email'], input[placeholder*='correo' i], input[placeholder*='email' i], #email, #loginUsername
2025-12-09 09:17:20 | ERROR    | websocket_client:send:214 - Send error: received 1011 (internal error) keepalive ping timeout; then sent 1011 (internal error) keepalive ping timeout
2025-12-09 09:42:47 | ERROR    | action_executor:execute_action:143 - Action timeout (60s): advanced_login
2025-12-09 09:42:48 | ERROR    | websocket_client:send:214 - Send error: received 1011 (internal error) keepalive ping timeout; then sent 1011 (internal error) keepalive ping timeout
2025-12-09 09:50:35 | ERROR    | warming_executor:_execute_warming:108 - Action 3 failed: HTTPConnectionPool(host='localhost', port=52908): Max retries exceeded with url: /session/e1ac072acec1518259cff489a05bd790/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103bd1700>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 09:50:35 | ERROR    | warming_executor:_execute_warming:108 - Action 4 failed: HTTPConnectionPool(host='localhost', port=52908): Max retries exceeded with url: /session/e1ac072acec1518259cff489a05bd790/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103babb80>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 09:50:35 | ERROR    | warming_executor:_execute_warming:108 - Action 5 failed: HTTPConnectionPool(host='localhost', port=52908): Max retries exceeded with url: /session/e1ac072acec1518259cff489a05bd790/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103b87ee0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 09:50:35 | ERROR    | warming_executor:_execute_warming:108 - Action 6 failed: HTTPConnectionPool(host='localhost', port=52908): Max retries exceeded with url: /session/e1ac072acec1518259cff489a05bd790/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103bd1250>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 09:50:35 | ERROR    | warming_executor:_execute_warming:108 - Action 7 failed: HTTPConnectionPool(host='localhost', port=52908): Max retries exceeded with url: /session/e1ac072acec1518259cff489a05bd790/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103bd1550>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-12-09 09:50:35 | ERROR    | warming_executor:_execute_warming:108 - Action 8 failed: HTTPConnectionPool(host='localhost', port=52908): Max retries exceeded with url: /session/e1ac072acec1518259cff489a05bd790/title (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103bd1dc0>: Failed to establish a new connection: [Errno 61] Connection refused'))
