2025-12-22 10:04:45 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 10:33:24 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 10:33:34 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 10:33:34 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 11:05:59 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 11:05:59 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 11:06:09 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 11:06:09 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 11:06:19 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 11:06:19 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:07:05 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:07:05 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:07:15 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:07:15 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:18:53 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:18:53 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 51] Network is unreachable
2025-12-22 12:19:10 | ERROR    | websocket_client:connect:83 - Connection error: 
2025-12-22 12:19:10 | ERROR    | websocket_client:connect:83 - Connection error: 
2025-12-22 12:34:52 | ERROR    | websocket_client:connect:83 - Connection error: 
2025-12-22 12:34:52 | ERROR    | websocket_client:connect:83 - Connection error: 
2025-12-22 12:35:03 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:35:13 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:35:23 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:35:33 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:35:43 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:35:53 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:36:03 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:36:14 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:36:25 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:36:36 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:36:47 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:36:58 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:37:09 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:37:20 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:37:31 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:37:42 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:37:53 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:38:04 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
2025-12-22 12:38:15 | ERROR    | websocket_client:connect:83 - Connection error: [Errno 61] Connect call failed ('192.168.1.8', 8000)
